Gene_Name,mantis_ml_rank,mantis_ml_proba,manti_ml_perc,p-val,collapsing_rank,Known_gene
FGFR1,17,0.9810511085336858,99.91409857188876,0.0279,229,1.0
FAT4,38,0.9690648593913311,99.80135294749275,0.0128,86,1.0
NFASC,51,0.9649118846654892,99.73155803715237,0.0188,102,0.0
USF1,85,0.9499471765756607,99.54901750241598,0.02,159,0.0
AFG3L2,111,0.9377708291181546,99.40942768173521,0.0414,285,1.0
ANK3,150,0.9271504086256027,99.20004295071405,0.0282,236,0.0
KCNQ2,195,0.9116858434165072,98.95844518415119,0.0004,5,1.0
KCNQ5,260,0.8898802542686463,98.60947063244927,0.0047,34,0.0
KDM6B,312,0.8807105267047882,98.33029099108774,0.0043,28,0.0
ARNT2,388,0.8639652407249289,97.92225920755932,0.0018,12,1.0
SCN1B,493,0.8434528192895483,97.3585310855793,0.0101,57,1.0
ATP8B1,498,0.8421616271138191,97.33168688929453,0.0124,80,0.0
MYO10,538,0.8339048254489899,97.11693331901643,0.0104,78,0.0
GAK,587,0.8258051288127899,96.85386019542574,0.0179,98,0.0
IFT57,690,0.8070425146818161,96.30086975195962,0.02,119,0.0
ATP1A3,715,0.802508867034389,96.16664877053582,0.0009220000000000001,7,1.0
CACNA1B,726,0.8003808689117432,96.10759153870933,1.73e-05,1,0.0
KCNA2,778,0.7908636237090693,95.82841189734779,0.0101,71,1.0
MGRN1,800,0.78787568628788,95.71029743369483,0.0227,184,0.0
MSH2,880,0.7727210034063859,95.28079029313862,0.0244,213,1.0
