SCLT1,2.018e-06
COL4A5,6.066e-06
EMR1,9.911e-05
SLC22A8,0.0002549
PDIA4,0.0002549
CYB5RL,0.0002827
DNALI1,0.0003024
CTNNA2,0.0003765
GINS1,0.0005952
TIFAB,0.0008588
DAPP1,0.0009547
DIS3L2,0.0009852
MYO9A,0.0009875
VAV3,0.0013
GPX1,0.0013
ANKRD34B,0.0013
FASTKD1,0.0013
DVL3,0.0015
FMNL2,0.0015
RCN1,0.0015
SYVN1,0.0015
ELOVL5,0.0015
ZNF621,0.0015
CD36,0.0016
APOB,0.0016
CHAD,0.0017
CPT1B,0.0017
ATG10,0.0018
RUNX3,0.0018
KRT36,0.0018
NFE2L2,0.0019
MUC4,0.0021
NUPL2,0.0023
ATP8B3,0.0023
AMOTL1,0.0024
PCDHA12,0.0025
GGA3,0.0025
KCNJ2,0.0026
BMP4,0.0027
LAMA4,0.0028
SBSN,0.0028
FUT2,0.0033
ADH5,0.0033
RNASE9,0.0033
CCR3,0.0033
EVC2,0.0034
OLR1,0.0034
AMPD2,0.0034
ZNF776,0.0034
CDH2,0.0034
AP4B1,0.0034
ZSCAN32,0.0035
SYNRG,0.0036
LEPRE1,0.0039
ARHGEF7,0.004
ARHGAP17,0.004
HIST1H4H,0.0041
FRRS1L,0.0041
NFKBIL1,0.0041
DUSP27,0.0042
CCDC90B,0.0043
DSG1,0.0046
SEMG2,0.0047
NRP1,0.0047
GPD2,0.0047
ANXA2,0.0049
SPN,0.0049
ZNF709,0.0049
TMEM106A,0.0049
GPR114,0.005
GLT8D1,0.005
CCBL2,0.0054
UBE2T,0.0054
AHSA1,0.0054
MAU2,0.0054
SYCP2,0.0054
HEPACAM,0.0056
MARC1,0.0059
SNX33,0.0059
MAML2,0.0059
TPTE2,0.0059
RASSF1,0.0059
RABL3,0.0061
KRCC1,0.0061
CENPBD1,0.0061
PRMT2,0.0061
LDLRAD4,0.0061
ALG3,0.0061
ARHGAP10,0.0061
COG8,0.0062
DEPDC5,0.0065
SGOL2,0.0069
MUTYH,0.0069
NOX3,0.0071
TEX9,0.0074
MS4A2,0.0074
PRPS1L1,0.0074
CRB2,0.0079
MAPK7,0.008
ZNF862,0.0083
DOCK5,0.0084
MKI67,0.0085
KIF3B,0.0087
MUC1,0.0087
IL1A,0.0087
ACAA1,0.0087
TM4SF1,0.0089
OR52W1,0.0089
CREBRF,0.0089
BAG1,0.0089
SETD1B,0.0091
GSTCD,0.0093
CCDC83,0.0093
CHI3L2,0.0093
TEX264,0.0093
RAPGEF1,0.0094
ZNF564,0.0094
RAPGEF4,0.0095
EPB41L4A,0.0095
SPZ1,0.0095
FLVCR1,0.01
DMD,0.01
FRS2,0.0103
LAIR2,0.0103
CCL27,0.0103
HIC1,0.0103
RAD23B,0.0106
LAMTOR4,0.0106
TYSND1,0.0106
EFNA3,0.0106
CLEC2B,0.0106
KCNA5,0.0109
SLC10A4,0.0109
HOXD8,0.0109
ACTR10,0.0109
SPTY2D1,0.0109
F13A1,0.0109
COLEC12,0.0112
ADAM22,0.0112
LCP2,0.0112
ACSM5,0.0112
CTRB2,0.0113
CRTAP,0.0113
DEGS2,0.0113
CATSPERD,0.0114
DUOXA2,0.0115
BAG3,0.0115
FAM189A1,0.0116
ANO10,0.0116
CAPN10,0.0116
OSGIN1,0.0119
LARS,0.0121
TAP1,0.0121
TBL2,0.0121
TSSC1,0.0121
DENND1C,0.0121
CYP4V2,0.0121
DOPEY1,0.0127
NEO1,0.013
SUSD1,0.013
CYP4A11,0.013
ROBO3,0.0131
SCLY,0.0134
AHDC1,0.0139
AOC2,0.0139
GPR128,0.0143
CLPTM1L,0.0143
ALDH6A1,0.0143
